iter	Passed	Remaining
0	163	163742
1	164	82152
2	165	55088
3	166	41520
4	167	33368
5	168	27904
6	169	23990
7	169	21073
8	170	18785
9	171	16955
10	172	15469
11	172	14231
12	173	13187
13	174	12285
14	175	11503
15	175	10816
16	176	10218
17	177	9698
18	178	9239
19	180	8826
20	180	8434
21	181	8081
22	182	7755
23	183	7455
24	184	7183
25	184	6927
26	185	6688
27	186	6468
28	186	6259
29	187	6067
30	188	5886
31	188	5715
32	189	5558
33	190	5411
34	191	5277
35	192	5149
36	193	5031
37	194	4915
38	195	4816
39	196	4710
40	197	4609
41	197	4511
42	198	4415
43	199	4325
44	199	4237
45	200	4154
46	200	4073
47	201	3997
48	202	3925
49	202	3854
50	203	3786
51	204	3721
52	204	3660
53	205	3599
54	206	3540
55	206	3485
56	207	3434
57	208	3386
58	209	3340
59	210	3300
60	211	3254
61	212	3209
62	212	3166
63	213	3123
64	214	3083
65	214	3042
66	215	3003
67	216	2966
68	217	2929
69	217	2892
70	218	2857
71	219	2823
72	219	2791
73	220	2758
74	221	2727
75	221	2696
76	222	2667
77	223	2638
78	224	2614
79	224	2585
80	225	2557
81	226	2534
82	226	2507
83	227	2482
84	228	2458
85	228	2433
86	229	2410
87	230	2388
88	231	2366
89	231	2343
90	232	2320
91	232	2299
92	233	2278
93	234	2257
94	234	2236
95	235	2216
96	235	2196
97	236	2176
98	237	2157
99	238	2150
100	239	2134
101	241	2122
102	241	2106
103	242	2089
104	243	2073
105	243	2056
106	244	2039
107	244	2023
108	245	2007
109	246	1991
110	246	1975
111	247	1960
112	247	1946
113	248	1931
114	249	1916
115	249	1902
116	250	1887
117	250	1873
118	251	1860
119	251	1847
120	252	1834
121	253	1821
122	254	1811
123	255	1803
124	256	1793
125	257	1782
126	257	1769
127	258	1757
128	258	1746
129	259	1735
130	259	1723
131	260	1713
132	261	1702
133	261	1691
134	262	1681
135	262	1670
136	263	1660
137	264	1649
138	264	1640
139	265	1631
140	266	1621
141	266	1610
142	267	1600
143	268	1595
144	269	1588
145	270	1580
146	270	1572
147	271	1563
148	272	1555
149	273	1548
150	273	1540
151	274	1532
152	275	1525
153	276	1517
154	276	1509
155	277	1501
156	278	1493
157	278	1486
158	279	1479
159	280	1472
160	280	1464
161	281	1456
162	282	1449
163	283	1447
164	286	1451
165	287	1444
166	288	1437
167	288	1430
168	289	1423
169	290	1416
170	290	1409
171	291	1402
172	292	1396
173	292	1390
174	293	1384
175	294	1378
176	294	1371
